id,type,desc,category,concept,dataset,name
net units,number,All new dwelling units minus all demolished dwelling units. This includes suites.,,,8t7s-6vwq,Residential Building Permits 2015
facility type,text,,,,k33x-azs5,Drainage - Manholes
waste water type,text,Type of Waste Water,,,k33x-azs5,Drainage - Manholes
year constructed,number,Year when Final Approval Certificate was issued,,,k33x-azs5,Drainage - Manholes
neighbourhood id,number,,neighbourbood_id,area,k33x-azs5,Drainage - Manholes
neighbourhood name,text,,neighbourbood_name,area,k33x-azs5,Drainage - Manholes
ward,text,,ward_name,area,k33x-azs5,Drainage - Manholes
street / avenue,text,,address,location,k33x-azs5,Drainage - Manholes
latitude,number,,latitude,location,k33x-azs5,Drainage - Manholes
longitude,number,,longitude,location,k33x-azs5,Drainage - Manholes
location,location,,location,location,k33x-azs5,Drainage - Manholes
fiscal year,number,Calendar year,year,time,pdmi-3qjb,Open Data Budget - Capital (2015)
service,text,High Level basic municipal services,,,pdmi-3qjb,Open Data Budget - Capital (2015)
branch,text,Name of City Branch responsible for budget item,,,pdmi-3qjb,Open Data Budget - Capital (2015)
profile id,text,The ID number for Capital Budget Profile,,,pdmi-3qjb,Open Data Budget - Capital (2015)
profile,text,General Title Name for Profile,,,pdmi-3qjb,Open Data Budget - Capital (2015)
fund type,text,"A high-level classification for the fund,",,,pdmi-3qjb,Open Data Budget - Capital (2015)
fund,text,Name of the fund from where the monies are taken from,,,pdmi-3qjb,Open Data Budget - Capital (2015)
approved,money,The amount that has been approved to be spent in a given fiscal year.,,,pdmi-3qjb,Open Data Budget - Capital (2015)
neighbourhood,text,"In order to protect the privacy of individuals, neighbourhood data is not reported for neighbourhoods with populations between 1 and 49 residents.",neighbourbood_name,area,qzrg-q4nv,2009 Census - Population By Single Year Of Age And Gender (Neighbourhood)
age,text,"Age of residents effective April 1, 2009",age,age,qzrg-q4nv,2009 Census - Population By Single Year Of Age And Gender (Neighbourhood)
female,number, ,,population,qzrg-q4nv,2009 Census - Population By Single Year Of Age And Gender (Neighbourhood)
male,number, ,,population,qzrg-q4nv,2009 Census - Population By Single Year Of Age And Gender (Neighbourhood)
responsedate,calendar_date,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
completiondate,calendar_date,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qa,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qbi,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qbii,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qci,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qcii,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qdi,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
qdii,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
ostype,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
devicetype,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
browsertype,text,,,,e8hk-t7j2,Residential Speed Limits and Community Traffic Management Planning - Survey Results
responsedate,calendar_date,,,,9u4w-mrqv,Gold Bar Trail Signs - Edmonton Insight Community
completiondate,calendar_date,,,,9u4w-mrqv,Gold Bar Trail Signs - Edmonton Insight Community
ostype,text,,,,9u4w-mrqv,Gold Bar Trail Signs - Edmonton Insight Community
devicetype,text,,,,9u4w-mrqv,Gold Bar Trail Signs - Edmonton Insight Community
browsertype,text,,,,9u4w-mrqv,Gold Bar Trail Signs - Edmonton Insight Community
row id,text,System generated value for each 311 request created in the system,,,vvnz-h46c,311 Requests (2014)
date closed,calendar_date,The date the appropriate City department has investigated the concern and identified steps to resolve your request. Action for resolving the issue may be dependent on priority and weather conditions or your issue has been closed due to lack of information including contact details.,date,time,vvnz-h46c,311 Requests (2014)
date created,calendar_date,The date the service request ticket was created ,date,time,vvnz-h46c,311 Requests (2014)
year,number,The Year in which the 311 ticket was created.,year,time,vvnz-h46c,311 Requests (2014)
month number,number,The numeric Month in which the 311 ticket was created.,month_number,time,vvnz-h46c,311 Requests (2014)
month,text,The Month in which the 311 ticket was created.,month_name,time,vvnz-h46c,311 Requests (2014)
request status,text,"The stage at which your request is at, Open or Closed. ",,,vvnz-h46c,311 Requests (2014)
status detail,text,Certain request types may include additional detals describing the progress or action associated with the request. The state of progress the request is at. ,,,vvnz-h46c,311 Requests (2014)
service category,text,The type of action or service request.,,,vvnz-h46c,311 Requests (2014)
service description,text,Provides a general description of the service request. ,,,vvnz-h46c,311 Requests (2014)
interaction channel,text,The channel or method in which the request was initiated,,,vvnz-h46c,311 Requests (2014)
service area,text,The business area that is responsible for the service. ,,area,vvnz-h46c,311 Requests (2014)
referral type,text,The action associated with  how the request was handled either information provided or transferred to a business area. ,,,vvnz-h46c,311 Requests (2014)
neighbourhood id,number,Unique number identifier given to Neighourhoods throughout Edmonton,neighbourbood_id,area,vvnz-h46c,311 Requests (2014)
neighbourhood,text,The name given to a Neighbourhood,neighbourbood_name,area,vvnz-h46c,311 Requests (2014)
ward,text,A unique number give to a geographical area representing a electoral area,ward_number,area,vvnz-h46c,311 Requests (2014)
service category (service area),text,A combination of Service Category and Service Area so visualizations can be created,,,vvnz-h46c,311 Requests (2014)
(service area) service category,text,A combination of Service Area and Service Category so visualizations can be created,,,vvnz-h46c,311 Requests (2014)
(service area) service description,text,A combination of Service Area and Service Description so visualizations can be created,,,vvnz-h46c,311 Requests (2014)
nbhd latitude,number,The latitude value for the centroid of the Neighbourbhood,latitude,location,vvnz-h46c,311 Requests (2014)
nbhd longitude,number,The longitude value for the centroid of the Neighbourhood,longitude,location,vvnz-h46c,311 Requests (2014)
nbhd location,location,The combination of latitude/longitude for the centroid of the Neighbourhood used for mapping purposes.,location,location,vvnz-h46c,311 Requests (2014)
ward latitude,number,The latitude value for the centroid of the Ward,latitude,location,vvnz-h46c,311 Requests (2014)
ward longitude,number,The longitude value for the centroid of the Ward,longitude,location,vvnz-h46c,311 Requests (2014)
ward location,location,The combination of latitude/longitude for the centroid of the Ward used for mapping purposes.,location,location,vvnz-h46c,311 Requests (2014)
count,number,A field created to do a sum function for charting purposes (Note: having this would be equivalent to doing a row count).,,,vvnz-h46c,311 Requests (2014)
area,text,Official Service Area the drop-in playground program is offered in.,,,baei-id48,Community Drop-in Program - Summer 2014
drop-in type / amenity,text,Name of drop-in program or type of amenity (i.e. water spray park),,,baei-id48,Community Drop-in Program - Summer 2014
park name,text,Name of park the drop-in program is offered in.,,,baei-id48,Community Drop-in Program - Summer 2014
address,text,Address of park the drop-in program is offered in.,address,location,baei-id48,Community Drop-in Program - Summer 2014
dates,text,"Date or date range the drop-in program runs, or the date or date range during which the amenity is open.",,,baei-id48,Community Drop-in Program - Summer 2014
hours,text,"The hours the drop-in program runs, or the hours of operation and / or staffed hours of the amenity.",,,baei-id48,Community Drop-in Program - Summer 2014
additional info,url,Link to Edmonton.ca website,url,url,baei-id48,Community Drop-in Program - Summer 2014
latitude,number,Horizontal geographic coordinate of Park,latitude,location,baei-id48,Community Drop-in Program - Summer 2014
longitude,number,Vertical geographic coordinate of Park,longitude,location,baei-id48,Community Drop-in Program - Summer 2014
location,location,Spatial coordinates of Park,location,location,baei-id48,Community Drop-in Program - Summer 2014
ward,text,City Ward Number,,,c8st-3nuy,2014 Census - Population By Structure Type (Ward)
structure type,text,Type of Residential Structure,,,c8st-3nuy,2014 Census - Population By Structure Type (Ward)
population,number,Number of Individuals,population,population,c8st-3nuy,2014 Census - Population By Structure Type (Ward)
responsedate,calendar_date,,,,kfnf-vqbh,Edmonton City Of Learners - Edmonton Insight Community
completiondate,calendar_date,,,,kfnf-vqbh,Edmonton City Of Learners - Edmonton Insight Community
ostype,text,,,,kfnf-vqbh,Edmonton City Of Learners - Edmonton Insight Community
devicetype,text,,,,kfnf-vqbh,Edmonton City Of Learners - Edmonton Insight Community
browsertype,text,,,,kfnf-vqbh,Edmonton City Of Learners - Edmonton Insight Community
neighbourhood name,text,The municipal neighbourhood name where the sign is located.,neighbourbood_name,area,2976-zu3f,Temporary Sign Locations
ward,text,The civic ward where the Temporary Sign is located.,ward_name,area,2976-zu3f,Temporary Sign Locations
district,text,The City District that the Temporary Sign is located in.,district,area,2976-zu3f,Temporary Sign Locations
zone,text,Zone means a specific group of listed Use Classes and Development Regulations which regulate the use and development of land within specific geographic areas of the City.,,area,2976-zu3f,Temporary Sign Locations
applicant,text,The person or business that submitted the Development Permit application.,,,2976-zu3f,Temporary Sign Locations
address,text,The address of the titled lot where the sign is located.,address,location,2976-zu3f,Temporary Sign Locations
sign id,number,,,,2976-zu3f,Temporary Sign Locations
permit number,text,This permit number is the same as the project number.,,,2976-zu3f,Temporary Sign Locations
business advertising,text,The name of the business(es) or development advertising on the sign.,,,2976-zu3f,Temporary Sign Locations
duration,number,The number of days the permit is valid.,,,2976-zu3f,Temporary Sign Locations
start date,calendar_date,Development Permit start date.,date,time,2976-zu3f,Temporary Sign Locations
expiry date,calendar_date,"Development Permit expiry date. After this date, the Development Permit is no longer valid.",date,time,2976-zu3f,Temporary Sign Locations
flag,text,Flag - status indicator. Current - valid; Future - valid on Start Date.,,,2976-zu3f,Temporary Sign Locations
sign latitude,number,Latitude geographic coordinate of sign,latitude,location,2976-zu3f,Temporary Sign Locations
sign longitude,number,Longitude geographic coordinate of sign,longitude,location,2976-zu3f,Temporary Sign Locations
location,location,Geographic coordinates of sign,location,location,2976-zu3f,Temporary Sign Locations
icon,url,,url,url,2976-zu3f,Temporary Sign Locations
neighbourhood id,number,,neighbourbood_id,area,2976-zu3f,Temporary Sign Locations
street view link,url,,url,url,2976-zu3f,Temporary Sign Locations
aerial view link,url,,url,url,2976-zu3f,Temporary Sign Locations
ward,text,City Ward Number,,,72zq-a43j,2014 Census - Dwelling Unit By Language (Ward)
language,text,Language Spoken,language,language,72zq-a43j,2014 Census - Dwelling Unit By Language (Ward)
dwellings,number,Number of Households,,,72zq-a43j,2014 Census - Dwelling Unit By Language (Ward)
ward,text,City Ward Number,,,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Number,,,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,,,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
canadian citizen,number,Number of Canadian Citizens,,population,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
permanent resident,number,Number of Permanent Residents,,population,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
refugee,number,Number of Refugees,,population,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
other,number,Number of Other citizens,,population,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
no response,number,Number of individuals that did not provide a response to this question,,population,2g4b-ti2n,2016 Census - Population by Citizenship (Neighbourhood/Ward)
race id,number,Unique Identifier for Election Race,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
contest name,text,Name of Race,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
ward name,text,Name of Ward,ward_name,area,hcz8-v3q4,2017 Official Election Results (by Voting Station)
voting station type,text,Type of Voting Station (City Wide Voting Stations show the distribution of votes from the various City-Wide voting opportunities),,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
voting station description,text,Voting Station Description,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
facility name,text,Location of Voting Station,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
acclaimed,text,A Candidate is Acclaimed if there is only one nomination for that race.,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
candidate order,number,The order that the Candidate's name appeared on the voting ballot.,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
candidate last name,text,Candidate Last Name,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
candidate first name,text,Candidate First Name,,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
votes received,number,Votes Received by Candidate (Under Votes are ballots counted with no selection for this race; Over Votes are ballots counted with more than the allowable  number of selections in a race - no votes are assigned to a candidate),,,hcz8-v3q4,2017 Official Election Results (by Voting Station)
ward,text,City Ward Number,,,8xce-nmz6,2016 Census - Population by School Residency (Ward)
school residency,text,School Board,,,8xce-nmz6,2016 Census - Population by School Residency (Ward)
population,number,Number of Individuals,population,population,8xce-nmz6,2016 Census - Population by School Residency (Ward)
row id,text,A unique ID generated to ensure that data (enforcement sites) are not duplicated during the archiving process.,,,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
scheduled from date,calendar_date,The start date for the week of enforcement at the specified enforcement site.,date,time,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
scheduled to date,calendar_date,The end date for the week of enforcement at the specified enforcement site.,date,time,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
site id,number,A system generated number assigned to any newly created enforcement zone.,,,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
speed limit,number,A speed limit that is being monitored and enforced (km/h).,,,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
location,text,A description of where along the Road Name that the enforcement zone is located.,,,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
the geom,text,The geometry string that represents the road segment for the enforcement zone.  This string can be fed into a mapping tool (Carto as an example) and be correctly interpreted to fully map out the road segment.,,,mbyc-ffgt,Scheduled Photo Enforcement Zones - History
facility name,text,Name of Recreational Facility,,,u6tw-de8t,Recreational Facility - Drop In Fitness
facility id,number,Unique Facility Identifier,,,u6tw-de8t,Recreational Facility - Drop In Fitness
booking id,number,Unique Booking Number Identifier,,,u6tw-de8t,Recreational Facility - Drop In Fitness
activity date,text,Calendar Date for Activity,,,u6tw-de8t,Recreational Facility - Drop In Fitness
location,text,Name of Location where Activity is to take Place,,location,u6tw-de8t,Recreational Facility - Drop In Fitness
day,text,Day of Week when Activity is to take place.,day,time,u6tw-de8t,Recreational Facility - Drop In Fitness
start time,text,Time when Activity is to begin,time,time,u6tw-de8t,Recreational Facility - Drop In Fitness
end time,text,Time when Activity is to end,time,time,u6tw-de8t,Recreational Facility - Drop In Fitness
activity,text,Name of Activity,,,u6tw-de8t,Recreational Facility - Drop In Fitness
abbreviation,text,Unique Identifier for Activity,,,u6tw-de8t,Recreational Facility - Drop In Fitness
ward,text,City Ward Number,,,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
neighbourhood number,number,Unique Neighbourhood Number,neighbourbood_id,area,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
neighbourhood name,text,Neighbourhood Name,neighbourbood_name,area,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
ownership,text,Ownership Type,,,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
5 years or more,number,Number of Persons,,population,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
no response,number,Number of Persons that provided No Response,,population,hc9x-fhuk,2016 Census - Population by Ownership and Length of Residence (Neighbourhood/Ward)
voting station number,text,Voting Station Number in the format of WARD-STN (e.g. 01-01 is Ward 01 - Station 01),,,dqag-kq5r,2013 Edmonton Election - Voting Stations
building name,text,Name of the location that is hosting the Voting Station,,,dqag-kq5r,2013 Edmonton Election - Voting Stations
address,text,Street address of the Voting Station,address,location,dqag-kq5r,2013 Edmonton Election - Voting Stations
longitude,number,,longitude,location,dqag-kq5r,2013 Edmonton Election - Voting Stations
latitude,number,,latitude,location,dqag-kq5r,2013 Edmonton Election - Voting Stations
location,location,,location,location,dqag-kq5r,2013 Edmonton Election - Voting Stations
responsedate,calendar_date,,,,unb8-wy5n,Edmonton City Charter - Edmonton Insight Community
completiondate,calendar_date,,,,unb8-wy5n,Edmonton City Charter - Edmonton Insight Community
ostype,text,,,,unb8-wy5n,Edmonton City Charter - Edmonton Insight Community
devicetype,text,,,,unb8-wy5n,Edmonton City Charter - Edmonton Insight Community
browsertype,text,,,,unb8-wy5n,Edmonton City Charter - Edmonton Insight Community
